doc_id,function,cbta_subtask,source_status,moodle_category,category_id,dgr_reference,verification_date,reviewer_status,quiz_id
Q-7.2-001,7.2,"0.1.2 Reconnaître le cadre juridique (mondial, national)",FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"Tier B — KOST Function 7.2 course, slides 20–23 (""Cadre juridique — Fondements de la Réglementation ",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-004,7.2,0.4.1 Trouver de l'information générale sur les classes et les divisions,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"Table 4.2, §3.0.2",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-005,7.2,0.5.2 Reconnaître les prescriptions de base concernant l'étiquetage,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§7.2.2.2, Partie 7",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-007,7.2,3.4.1 Vérifier la documentation pour voir s'il y a des indications concernant des marchandises dangereuses cachées et non déclarées,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§9.1.1.2, §9.1.7",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-009,7.2,7.3 Signaler les marchandises dangereuses non déclarées ou mal déclarées,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§9.6.2.1, Partie 9",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-010,7.2,7.4 Signaler les situations mettant en cause des marchandises dangereuses,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§9.6.4, §9.6.5, Partie 9, §9.6",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-011,7.2,"7.1 + 7.2 (combined, dual-tagged pool per",FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§9.6.1, Partie 9, §4.4",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-013,7.2,0.1.3 Déterminer l'application et la portée,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§1.2.1, Partie 1",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-014,7.2,0.2.1 Développer un flair pour les marchandises dangereuses interdites,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§2.1.1, Partie 2",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-015,7.2,0.2.3 Être au courant des dispositions s'appliquant aux passagers,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,§2.3.0.1,2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-016,7.2,0.3.1 Clarifier le rôle individuel et collectif des parties prenantes,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§1.4.1, Partie 1",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-017,7.2,0.3.3 Reconnaître l'impact des divergences des États et des exploitants,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§2.8.3.1, §2.8.3.0",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-018,7.2,0.4.2 Comprendre les principes généraux des groupes d'emballage,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§3.0.3.1, Partie 3, §3.0.2.",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-019,7.2,0.5.1 Reconnaître les prescriptions de base concernant le marquage,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§7.1.3.2, Partie 7",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-020,7.2,0.5.3 Déterminer les documents exigés,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"Tier B — KOST Function 7.2 course, slides 86 and 107–108 (""Lettre de transport aérien (LTA) — DGR 8.",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-024,7.2,3.4.2 Vérifier les colis pour indications de MD cachées/non déclarées,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,§9.1.7,2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-025,7.2,"7.1 + 7.2 (combined, dual-tagged pool — same blueprint decision",FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§9.6.1, §9.6.4",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-026,7.2,0.2.2 Reconnaître les marchandises dangereuses potentiellement cachées,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§2.2.4, Table 4.2, §3.0.2",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-027,7.2,0.4.1 Trouver de l'information générale sur les classes et les divisions,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,§3.0.2.2,2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-034,7.2,0.2.2 Reconnaître les marchandises dangereuses potentiellement cachées,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"§3.9.2.6.0, §9.3.2.1.3",2026-08-25,PENDING REVIEWER + DATE,13
Q-7.2-043,7.2,0.5.3 Déterminer les documents exigés,FROZEN FR / SOURCE VERIFIED,Fonction 7.2,19,"Tier B — KOST Function 7.2 course, slide 85 (""Identifier la documentation requise DGR 8.0.1""), a dif",2026-08-25,PENDING REVIEWER + DATE,13
